Duration: 1.33s
         7365546 function calls (7364887 primitive calls) in 1.419 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   938042    0.322    0.000    0.494    0.000 bpe_builder.py:83(<lambda>)
  1152646    0.316    0.000    0.542    0.000 pretoken.py:45(merge_bytes_pair)
        1    0.180    0.180    1.327    1.327 bpe_builder.py:68(train)
  1152646    0.149    0.000    0.217    0.000 __init__.py:1517(debug)
5600/5599    0.110    0.000    0.604    0.000 {built-in method builtins.max}
  1876570    0.091    0.000    0.091    0.000 vocab.py:8(token)
   943678    0.082    0.000    0.082    0.000 {method 'get' of 'dict' objects}
  1152646    0.068    0.000    0.068    0.000 __init__.py:1790(isEnabledFor)
     4763    0.035    0.000    0.036    0.000 pretoken.py:11(__init__)
        1    0.022    0.022    0.069    0.069 bpe_builder.py:27(__init__)
     4763    0.007    0.000    0.007    0.000 pretoken.py:22(pairs_cnt)
    15512    0.005    0.000    0.005    0.000 pretoken.py:30(_replace_pair)
        3    0.005    0.002    0.005    0.002 {built-in method _imp.create_dynamic}
    27758    0.003    0.000    0.003    0.000 {method 'group' of '_regex.Match' objects}
        9    0.003    0.000    0.003    0.000 {method 'read' of '_io.BufferedReader' objects}
39586/39279    0.003    0.000    0.003    0.000 {built-in method builtins.len}
        1    0.002    0.002    0.010    0.010 _regex_core.py:1(<module>)
    17071    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
    20505    0.002    0.000    0.002    0.000 {method 'items' of 'dict' objects}
        9    0.001    0.000    0.001    0.000 {built-in method marshal.loads}
        1    0.001    0.001    0.001    0.001 {method 'read' of '_io.TextIOWrapper' objects}
       89    0.001    0.000    0.004    0.000 {built-in method builtins.__build_class__}
     29/4    0.000    0.000    0.001    0.000 _parser.py:512(_parse)
       62    0.000    0.000    0.000    0.000 {built-in method posix.stat}
        2    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
       34    0.000    0.000    0.000    0.000 enum.py:254(__set_name__)
       20    0.000    0.000    0.000    0.000 _compiler.py:243(_optimize_charset)
        1    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
     61/4    0.000    0.000    0.001    0.000 _compiler.py:37(_compile)
      184    0.000    0.000    0.000    0.000 enum.py:1562(__and__)
       31    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
     1913    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
      243    0.000    0.000    0.000    0.000 vocab.py:14(add)
        9    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
      638    0.000    0.000    0.000    0.000 enum.py:1544(_get_value)
        9    0.000    0.000    0.000    0.000 {built-in method _io.open_code}
        2    0.000    0.000    0.017    0.008 __init__.py:1(<module>)
        4    0.000    0.000    0.002    0.000 regex.py:449(_compile)
      155    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
       15    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
       39    0.000    0.000    0.000    0.000 enum.py:390(__setitem__)
       20    0.000    0.000    0.000    0.000 enum.py:1414(_missing_)
      146    0.000    0.000    0.000    0.000 enum.py:850(__setattr__)
      431    0.000    0.000    0.000    0.000 _parser.py:261(get)
        9    0.000    0.000    0.005    0.001 <frozen importlib._bootstrap_external>:1062(get_code)
        3    0.000    0.000    0.000    0.000 {built-in method regex._regex.compile}
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:304(acquire)
      349    0.000    0.000    0.000    0.000 _parser.py:168(__getitem__)
     20/4    0.000    0.000    0.001    0.000 _parser.py:452(_parse_sub)
     15/5    0.000    0.000    0.020    0.004 <frozen importlib._bootstrap>:1349(_find_and_load)
